Supabase Snippet Organization Usage Lookup (3)
id,created_at,,company_id,type,content,attribute,,updated_at,,original_timestamp,value,
049514ed-3d98-41aa-abed-cf94b3440ec5,2025-05-22 17:13:53.363873+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Bank Balance Degradation - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:13:53.363873+00,,2025-05-08 21:01:18.054259+00,"$327,497.00",
f26ae875-7941-4318-8d75-02a753c7fe96,2025-05-28 21:01:48.423836+00,,0196217a-30d6-77e9-be9e-75b799fb4297,Metric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Initial Activation Date,Initial Activation Date,,2025-05-28 21:01:48.423836+00,,2025-05-28 21:01:02.283962+00,2024-11-26,
c25aa754-c304-441e-afc8-68a25116a70c,2025-05-22 17:15:16.918791+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:15:16.918791+00,,2025-05-08 21:01:18.054259+00,"$327,497.00",
c5311080-e682-4e72-bb9e-3aff00528a24,2025-05-22 17:15:16.735+00,,0196217c-c242-751f-9252-5029f7abc91e,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 17:15:16.735+00,,2025-05-08 21:01:18.054259+00,2025-04-16,
02b5b184-a921-43cc-b0e5-d69e356d18a3,2025-05-28 21:01:48.527681+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Consecutive Days 0,Consecutive Days 0,,2025-05-28 21:01:48.527681+00,,2025-05-28 21:01:02.283962+00,20,
4a50e5cb-bb89-420d-aefa-0e752da6d558,2025-05-28 21:01:48.626648+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,Recording at-risk metric from Looker from the report: Logos At Risk Of Churning 1 for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-28 21:01:48.626648+00,,2025-05-28 21:01:02.283962+00,"$30,000.00",
0b8be0b4-77ce-475d-a58c-f8000353bf30,2025-05-22 17:20:04.265359+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:20:04.265359+00,,2025-05-10 21:00:56.134912+00,"$327,497.00",
bf1771ad-6fdd-451a-9b8d-1f7a6697a997,2025-05-22 17:24:22.095409+00,,0196217a-30d6-77e9-be9e-75b799fb4297,Metric,at risk - Total Bank Balance Flag Last 30 Days - First 50 Pct Bank Balance Decrease Date,First 50 Pct Bank Balance Decrease Date,,2025-05-22 17:24:22.095409+00,,2025-05-11 21:01:16.743841+00,2025-05-11,
8fb60908-5a46-43e1-b76a-accffab1e739,2025-05-22 17:24:21.501956+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 17:24:21.501956+00,,2025-05-11 21:01:16.743841+00,$0.00,
314434b2-d7f4-4514-968b-8545f154748c,2025-05-22 17:24:22.210729+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 17:24:22.210729+00,,2025-05-11 21:01:16.743841+00,$0.00,
de973813-c8c3-42b4-8f0a-d2e68657e2cd,2025-05-22 17:24:22.350898+00,,0196217a-30d6-77e9-be9e-75b799fb4297,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:24:22.350898+00,,2025-05-11 21:01:16.743841+00,"$30,000.00",
481c74e5-1cbc-4824-8d68-4bbae424a013,2025-05-28 21:05:05.114302+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,CumulativeMetric,Recording at-risk metric from Looker from the report: Total Bank Balance Flag Last 30 Days for this value: Total Bank Balance Today,Total Bank Balance Today,,2025-05-28 21:05:05.114302+00,,2025-05-28 21:01:02.283962+00,$0.00,
620850dc-b989-4969-9fea-d4468bc35e8b,2025-05-22 17:24:57.532374+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-22 17:24:57.532374+00,,2025-05-11 21:01:16.743841+00,"$327,497.00",
f8b52e10-5991-4647-bffc-f2d0f5eab6e5,2025-05-22 17:31:29.20454+00,,0196217a-3641-7b3b-a8b3-ecdfce86162c,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 17:31:29.20454+00,,2025-05-12 21:00:57.656663+00,$0.00,
638a90bf-2e5c-4e88-8a06-e93db31c0358,2025-05-31 21:03:36.274522+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,Recording at-risk metric from Looker from the report: Bank Balance Degradation for this value: Max Average 30-Day Total Bank Balance,Max Average 30-Day Total Bank Balance,,2025-05-31 21:03:36.274522+00,,2025-05-31 21:01:12.178908+00,"$327,497.00",
ba63f137-86c7-40e4-a130-12f993b2793e,2025-05-22 17:08:54.507104+00,,0196217c-c242-751f-9252-5029f7abc91e,CumulativeMetric,at risk - Total Bank Balance Flag Last 30 Days - Total Bank Balance Today,Total Bank Balance Today,,2025-05-22 17:08:54.507104+00,,2025-05-06 21:01:41.297333+00,"$112,450.00",
